disease,id,c,d,e,f,g,h,i
Trichophyton infection,MESH:C569516,,,MESH:D014005,C01.150.703.302.720/C569516|C01.800.200.720/C569516|C17.800.838.208.883/C569516,C01.150.703.302.720|C01.800.200.720|C17.800.838.208.883,Deep dermatophytosis|deep seated dermatophytosis|Granuloma trichophyticum|Majocchi's granuloma|trichophytic granuloma|Trichophyton infections|Trichophyton rubrum infection|Trichophyton rubrum infections,Bacterial infection or mycosis|Skin disease
"Trichorhinophalangeal Syndrome, Type I",MESH:C536820,DO:DOID:14743|OMIM:190350,,MESH:D006201|MESH:D015826,C05.116.099.708.582/C536820|C17.800.329/C536820,C05.116.099.708.582|C17.800.329,Giedion syndrome|Trichorhinophalangeal dysplasia 1|Trichorhinophalangeal (TRP) syndrome 1|TRPS1|TRPS I,Musculoskeletal disease|Skin disease
"Trichorhinophalangeal Syndrome, Type III",MESH:C566033,OMIM:190351,,MESH:D005532|MESH:D006201|MESH:D006228|MESH:D019066,C05.330.495/C566033|C05.390.408/C566033|C05.660.585.512.380/C566033|C05.660.585.988.425/C566033|C16.131.621.585.512.500/C566033|C16.131.621.585.988.500/C566033|C17.800.329/C566033|C23.550.291.812/C566033,C05.330.495|C05.390.408|C05.660.585.512.380|C05.660.585.988.425|C16.131.621.585.512.500|C16.131.621.585.988.500|C17.800.329|C23.550.291.812,Sugio-Kajii Syndrome|TRPS3,Congenital abnormality|Musculoskeletal disease|Pathology (process)|Skin disease
Trichorrhexis nodosa syndrome,MESH:C536556,,,MESH:D054463,C16.131.077.899/C536556|C16.131.831.874/C536556|C16.320.850.895/C536556|C17.800.804.874/C536556|C17.800.827.895/C536556,C16.131.077.899|C16.131.831.874|C16.320.850.895|C17.800.804.874|C17.800.827.895,Pollitt syndrome|Trichothiodystrophy-neurocutaneous syndrome|Trichothiodystrophy-neurotrichocutaneous syndrome of Pollitt,Congenital abnormality|Genetic disease (inborn)|Skin disease
Trichoscyphodysplasia,MESH:C536557,,,MESH:D004476|MESH:D010009,C05.116.099.708/C536557|C16.131.077.350/C536557|C16.131.831.350/C536557|C16.320.728/C536557|C16.320.850.250/C536557|C17.800.804.350/C536557|C17.800.827.250/C536557,C05.116.099.708|C16.131.077.350|C16.131.831.350|C16.320.728|C16.320.850.250|C17.800.804.350|C17.800.827.250,Cupped metaphyses and cone-shaped epiphyses with alopecia|Metaphyseal chondrodysplasia with cone-shaped epiphyses and alopecia|Metaphyseal chondrodysplasia with ectodermal dysplasia,Congenital abnormality|Genetic disease (inborn)|Musculoskeletal disease|Skin disease
Trichosporonosis,MESH:D060586,DO:DOID:0050290,Fungal infections caused by TRICHOSPORON that may become systemic especially in an IMMUNOCOMPROMISED HOST. Clinical manifestations range from superficial cutaneous infections to systemic lesions in multiple organs.,MESH:D000542|MESH:D009181,C01.150.703.875|C08.381.483.125.841|C08.674.055.682|C20.543.480.680.075.682,C01.150.703|C08.381.483.125|C08.674.055|C20.543.480.680.075,"Disseminated Trichosporonoses|Disseminated Trichosporonosis|Infection, Trichosporon|Invasive Trichosporonoses|Invasive Trichosporonosis|Japanese Summer Type Hypersensitivity Pneumonitis|Japanese Summer-Type Hypersensitivity Pneumonitis|Pneumonitides, Summer-Type Hypersensitivity|Pneumonitis, Summer-Type Hypersensitivity|Summer-Type Hypersensitivity Pneumonitides|Summer Type Hypersensitivity Pneumonitis|Summer-Type Hypersensitivity Pneumonitis|Trichosporon Infection|Trichosporon Infections|Trichosporonoses|Trichosporonosis, Disseminated|Trichosporonosis, Invasive",Bacterial infection or mycosis|Immune system disease|Respiratory tract disease
Trichostasis spinulosa,MESH:C536558,,,MESH:D006201|MESH:D007642|MESH:D011537,C17.800.329/C536558|C17.800.428/C536558|C17.800.685/C536558|C23.888.885.625/C536558,C17.800.329|C17.800.428|C17.800.685|C23.888.885.625,,Signs and symptoms|Skin disease
Trichostrongyloidiasis,MESH:D014252,DO:DOID:1255,"Infection by roundworms of the superfamily TRICHOSTRONGYLOIDEA, including the genera TRICHOSTRONGYLUS; OSTERTAGIA; Cooperia, HAEMONCHUS; Nematodirus, Hyostrongylus, and DICTYOCAULUS.",MESH:D017206,C01.610.335.508.700.775.825,C01.610.335.508.700.775,Trichostrongyloidiases,Parasitic disease
Trichostrongylosis,MESH:D014253,DO:DOID:1254,"Infestation with nematode worms of the genus TRICHOSTRONGYLUS. Man and animals become infected by swallowing larvae, usually with contaminated food or drink, although the larvae may penetrate human skin.",MESH:D014252,C01.610.335.508.700.775.825.842,C01.610.335.508.700.775.825,Trichostrongyloses,Parasitic disease
"TRICHOTHIODYSTROPHY 1, PHOTOSENSITIVE",OMIM:601675,DO:DOID:0111873,,MESH:D004476|MESH:D006201|MESH:D008607|MESH:D009260|MESH:D010787|MESH:D054463,C10.597.606.360/601675|C16.131.077.350/601675|C16.131.077.899/601675|C16.131.831.350/601675|C16.131.831.874/601675|C16.320.850.250/601675|C16.320.850.895/601675|C17.800.329/601675|C17.800.529/601675|C17.800.600/601675|C17.800.804.350/601675|C17.800.804.874/601675|C17.800.827.250/601675|C17.800.827.895/601675|C23.888.592.604.646/601675|F03.625.539/601675,C10.597.606.360|C16.131.077.350|C16.131.077.899|C16.131.831.350|C16.131.831.874|C16.320.850.250|C16.320.850.895|C17.800.329|C17.800.529|C17.800.600|C17.800.804.350|C17.800.804.874|C17.800.827.250|C17.800.827.895|C23.888.592.604.646|F03.625.539,"ICHTHYOSIFORM ERYTHRODERMA WITH HAIR ABNORMALITY AND MENTAL AND GROWTH RETARDATION|ICHTHYOSIS, CONGENITAL, WITH TRICHOTHIODYSTROPHY|PIBIDS SYNDROME|TAY SYNDROME|TRICHOTHIODYSTROPHY, PHOTOSENSITIVE|TRICHOTHIODYSTROPHY WITH CONGENITAL ICHTHYOSIS|TTD1|TTDP",Congenital abnormality|Genetic disease (inborn)|Mental disorder|Nervous system disease|Signs and symptoms|Skin disease
"TRICHOTHIODYSTROPHY 2, PHOTOSENSITIVE",OMIM:616390,DO:DOID:0111869,,MESH:D010787|MESH:D054463,C16.131.077.899/616390|C16.131.831.874/616390|C16.320.850.895/616390|C17.800.600/616390|C17.800.804.874/616390|C17.800.827.895/616390,C16.131.077.899|C16.131.831.874|C16.320.850.895|C17.800.600|C17.800.804.874|C17.800.827.895,TTD2,Congenital abnormality|Genetic disease (inborn)|Skin disease
"TRICHOTHIODYSTROPHY 3, PHOTOSENSITIVE",OMIM:616395,DO:DOID:0111871,,MESH:D010787|MESH:D054463,C16.131.077.899/616395|C16.131.831.874/616395|C16.320.850.895/616395|C17.800.600/616395|C17.800.804.874/616395|C17.800.827.895/616395,C16.131.077.899|C16.131.831.874|C16.320.850.895|C17.800.600|C17.800.804.874|C17.800.827.895,"TRICHOTHIODYSTROPHY, COMPLEMENTATION GROUP A|TTD3|TTDA",Congenital abnormality|Genetic disease (inborn)|Skin disease
"TRICHOTHIODYSTROPHY 5, NONPHOTOSENSITIVE",OMIM:300953,DO:DOID:0111868,,MESH:D054463,C16.131.077.899/300953|C16.131.831.874/300953|C16.320.850.895/300953|C17.800.804.874/300953|C17.800.827.895/300953,C16.131.077.899|C16.131.831.874|C16.320.850.895|C17.800.804.874|C17.800.827.895,TTD5,Congenital abnormality|Genetic disease (inborn)|Skin disease
"TRICHOTHIODYSTROPHY 6, NONPHOTOSENSITIVE",OMIM:616943,DO:DOID:0111872,,MESH:D054463,C16.131.077.899/616943|C16.131.831.874/616943|C16.320.850.895/616943|C17.800.804.874/616943|C17.800.827.895/616943,C16.131.077.899|C16.131.831.874|C16.320.850.895|C17.800.804.874|C17.800.827.895,TTD6,Congenital abnormality|Genetic disease (inborn)|Skin disease
Trichothiodystrophy Syndromes,MESH:D054463,DO:DOID:0111866|DO:DOID:0111868|DO:DOID:2960|OMIM:234050,"Autosomal recessive neuroectodermal disorders characterized by brittle sulfur-deficient hair associated with impaired intellect, decreased fertility, and short stature. It may include nail dystrophy, ICHTHYOSIS, and photosensitivity correlated with a NUCLEOTIDE EXCISION REPAIR defect. All individuals with this disorder have a deficiency of cysteine-rich KERATIN-ASSOCIATED PROTEINS found in the interfilamentous matrix. Photosensitive trichothiodystrophy can be caused by mutation in at least 2 separate genes: ERCC2 PROTEIN gene and the related ERCC3. Nonphotosensitive trichothiodystrophy can be caused by mutation in the TTDN1 gene.",MESH:D000015|MESH:D012868|MESH:D012873,C16.131.077.899|C16.131.831.874|C16.320.850.895|C17.800.804.874|C17.800.827.895,C16.131.077|C16.131.831|C16.320.850|C17.800.804|C17.800.827,"ABHS|Amish Brittle Hair Brain Syndrome|Amish Brittle Hair Syndrome|BIDS Syndrome|BIDS Syndromes|Brittle Hair Intellectual Impairment Decreased Fertility Short Stature Syndrome|Brittle Hair-Intellectual Impairment-Decreased Fertility-Short Stature Syndrome|Hair Brain Syndrome|Hair-Brain Syndrome|Hair-Brain Syndromes|IBIDS Syndrome|IBIDS Syndromes|Ichthyosiform Erythroderma with Hair Abnormality and Mental and Growth Retardation|Ichthyosis, Brittle Hair, Intellectual Impairment, Decreased Fertility, and Short Stature|Photosensitive Trichothiodystrophies|Photosensitive Trichothiodystrophy|PIBIDS Syndrome|PIBIDS Syndromes|POLLITT SYNDROME|Tay Syndrome|Trichothiodystrophies|Trichothiodystrophies, Nonphotosensitive 1|Trichothiodystrophies, Photosensitive|Trichothiodystrophy|TRICHOTHIODYSTROPHY 4, NONPHOTOSENSITIVE|TRICHOTHIODYSTROPHY-NEUROCUTANEOUS SYNDROME|Trichothiodystrophy, Nonphotosensitive 1|Trichothiodystrophy, Photosensitive|Trichothiodystrophy Syndrome|Trichothiodystrophy with Congenital Ichtyosis|TTD4|TTDN1",Congenital abnormality|Genetic disease (inborn)|Skin disease
"Trichothiodystrophy, Type 1",MESH:C564734,,,MESH:D014983,C04.834.867/C564734|C16.131.831.936/C564734|C16.320.850.970/C564734|C17.800.600.925/C564734|C17.800.621.936/C564734|C17.800.804.936/C564734|C17.800.827.970/C564734|C18.452.284.975/C564734,C04.834.867|C16.131.831.936|C16.320.850.970|C17.800.600.925|C17.800.621.936|C17.800.804.936|C17.800.827.970|C18.452.284.975,,Cancer|Congenital abnormality|Genetic disease (inborn)|Metabolic disease|Skin disease
Trichothiodystrophy with Sun Sensitivity,MESH:C564733,,,MESH:D054463,C16.131.077.899/C564733|C16.131.831.874/C564733|C16.320.850.895/C564733|C17.800.804.874/C564733|C17.800.827.895/C564733,C16.131.077.899|C16.131.831.874|C16.320.850.895|C17.800.804.874|C17.800.827.895,,Congenital abnormality|Genetic disease (inborn)|Skin disease
Trichotillomania,MESH:D014256,DO:DOID:0050587|OMIM:613229,Compulsion to pull out one's hair.,MESH:D007174,F03.250.800,F03.250,Trichotillomanias|TTM,Mental disorder
Trichuriasis,MESH:D014257,DO:DOID:1252,"Infection with nematodes of the genus TRICHURIS, formerly called Trichocephalus.",MESH:D017189,C01.610.335.508.100.275.895,C01.610.335.508.100.275,"Infections, Trichuris|Infections, Trichuris trichiura|Infections, Whipworm|Infection, Trichuris|Infection, Trichuris trichiura|Infection, Whipworm|Trichocephaliases|Trichocephaliasis|Trichuriases|Trichuris Infection|Trichuris Infections|Trichuris trichiura Infection|Trichuris trichiura Infections|Whipworm Infection|Whipworm Infections",Parasitic disease
Tricuspid Atresia,MESH:D018785,DO:DOID:0080169|OMIM:605067,"Absence of the orifice between the RIGHT ATRIUM and RIGHT VENTRICLE, with the presence of an atrial defect through which all the systemic venous return reaches the left heart. As a result, there is left ventricular hypertrophy (HYPERTROPHY, LEFT VENTRICULAR) because the right ventricle is absent or not functional.",MESH:D006330|MESH:D006349,C14.240.400.920|C14.280.400.920|C14.280.484.845|C16.131.240.400.920,C14.240.400|C14.280.400|C14.280.484|C16.131.240.400,"Absent Right Atrioventricular Connection|Atresias, Tricuspid|Atresias, Tricuspid Valve|Atresia, Tricuspid|Atresia, Tricuspid Valve|Tricuspid Atresias|Tricuspid Valve Atresia|Tricuspid Valve Atresias|Valve Atresias, Tricuspid|Valve Atresia, Tricuspid",Cardiovascular disease|Congenital abnormality
Tricuspid Valve Insufficiency,MESH:D014262,DO:DOID:4080,Backflow of blood from the RIGHT VENTRICLE into the RIGHT ATRIUM due to imperfect closure of the TRICUSPID VALVE.,MESH:D006349,C14.280.484.856,C14.280.484,"Incompetence, Tricuspid|Incompetence, Tricuspid Valve|Insufficiency, Tricuspid Valve|Regurgitation, Tricuspid|Regurgitation, Tricuspid Valve|Tricuspid Incompetence|Tricuspid Regurgitation|Tricuspid Valve Incompetence|Tricuspid Valve Regurgitation|Valve Incompetence, Tricuspid|Valve Insufficiency, Tricuspid|Valve Regurgitation, Tricuspid",Cardiovascular disease
Tricuspid Valve Prolapse,MESH:D014263,DO:DOID:5644,Abnormal protrusion of one or more of the leaflets of TRICUSPID VALVE into the RIGHT ATRIUM during SYSTOLE. This allows the backflow of blood into right atrium leading to TRICUSPID VALVE INSUFFICIENCY; SYSTOLIC MURMURS. Its most common cause is not primary valve abnormality but rather the dilation of the RIGHT VENTRICLE and the tricuspid annulus.,MESH:D016127,C14.280.484.400.875,C14.280.484.400,"Prolapses, Tricuspid Valve|Prolapse, Tricuspid Valve|Tricuspid Valve Prolapses|Valve Prolapses, Tricuspid|Valve Prolapse, Tricuspid",Cardiovascular disease
Tricuspid Valve Stenosis,MESH:D014264,DO:DOID:4078,The pathologic narrowing of the orifice of the TRICUSPID VALVE. This hinders the emptying of RIGHT ATRIUM leading to elevated right atrial pressure and systemic venous congestion. Tricuspid valve stenosis is almost always due to RHEUMATIC FEVER.,MESH:D006349,C14.280.484.911,C14.280.484,"Stenoses, Tricuspid Valve|Stenosis, Tricuspid Valve|Tricuspid Valve Stenoses|Valve Stenoses, Tricuspid|Valve Stenosis, Tricuspid",Cardiovascular disease
Trifunctional Protein Deficiency With Myopathy And Neuropathy,MESH:C566945,DO:DOID:0111277|OMIM:609015,,MESH:D008052|MESH:D009202|MESH:D009422|MESH:D012206|MESH:D017240,C05.651.460/C566945|C05.651.807/C566945|C10.668.491.500/C566945|C10/C566945|C14.280.238/C566945|C16.320.565.398/C566945|C18.452.584.563/C566945|C18.452.648.398/C566945|C18.452.660.560/C566945,C05.651.460|C05.651.807|C10|C10.668.491.500|C14.280.238|C16.320.565.398|C18.452.584.563|C18.452.648.398|C18.452.660.560,"3-Hydroxyacyl-CoA Dehydrogenase, Long Chain, Deficiency|LCHAD Deficiency|Long-Chain 3-Hydroxyacyl-CoA Dehydrogenase Deficiency|Long-Chain 3-Hydroxy Acyl CoA Dehydrogenase Deficiency|Long-Chain 3-Hydroxyacyl-Coenzyme A Dehydrogenase Deficiency|Long-Chain 3-OH Acyl-CoA Dehydrogenase Deficiency|Mitochondrial Trifunctional Protein Deficiency|MTPD|TFP Deficiency|Trifunctional Protein Deficiency|TRIFUNCTIONAL PROTEIN DEFICIENCY TRIFUNCTIONAL PROTEIN DEFICIENCY WITH MYOPATHY AND NEUROPATHY, INCLUDED|Trifunctional Protein Deficiency, Type 1|Trifunctional Protein Deficiency, Type 2",Cardiovascular disease|Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nervous system disease
Trigeminal Autonomic Cephalalgias,MESH:D051303,,"Primary headache disorders that show symptoms caused by the activation of the AUTONOMIC NERVOUS SYSTEM of the TRIGEMINAL NERVE. These autonomic features include redness and tearing of the EYE, nasal congestion or discharge, facial SWEATING and other symptoms. Most subgroups show unilateral cranial PAIN.",MESH:D051270,C10.228.140.546.399.937,C10.228.140.546.399,"Cephalalgias, Trigeminal Autonomic|Cephalalgia, Trigeminal Autonomic|Trigeminal Autonomic Cephalalgia",Nervous system disease
Trigeminal Nerve Diseases,MESH:D020433,,"Diseases of the trigeminal nerve or its nuclei, which are located in the pons and medulla. The nerve is composed of three divisions: ophthalmic, maxillary, and mandibular, which provide sensory innervation to structures of the face, sinuses, and portions of the cranial vault. The mandibular nerve also innervates muscles of mastication. Clinical features include loss of facial and intra-oral sensation and weakness of jaw closure. Common conditions affecting the nerve include brain stem ischemia, INFRATENTORIAL NEOPLASMS, and TRIGEMINAL NEURALGIA.",MESH:D005156,C07.465.299.625.500|C10.292.319.625.700,C07.465.299.625|C10.292.319.625,"Cranial Nerve V Diseases|Fifth Cranial Nerve Diseases|Idiopathic Trigeminal Neuropathies|Idiopathic Trigeminal Neuropathy|Neuropathies, Idiopathic Trigeminal|Neuropathies, Trigeminal|Neuropathy, Idiopathic Trigeminal|Neuropathy, Trigeminal|Raeder Paratrigeminal Syndrome|Syndrome, Raeder Paratrigeminal|Trigeminal Nerve Disease|Trigeminal Nerve Disorder|Trigeminal Nerve Disorders|Trigeminal Neuropathies|Trigeminal Neuropathies, Idiopathic|Trigeminal Neuropathy|Trigeminal Neuropathy, Idiopathic",Mouth disease|Nervous system disease
Trigeminal Nerve Injuries,MESH:D061221,,"Traumatic injuries to the TRIGEMINAL NERVE. It may result in extreme pain, abnormal sensation in the areas the nerve innervates on face, jaw, gums and tongue and can cause difficulties with speech and chewing. It is sometimes associated with various dental treatments.",MESH:D020209|MESH:D020433,C07.465.299.625.500.349|C10.292.200.875|C10.292.319.625.700.349|C10.900.300.218.775|C26.915.300.400.825,C07.465.299.625.500|C10.292.200|C10.292.319.625.700|C10.900.300.218|C26.915.300.400,"Avulsions, Trigeminal Nerve|Avulsion, Trigeminal Nerve|Contusions, Trigeminal Nerve|Contusion, Trigeminal Nerve|Cranial Nerve V Injury|Fifth Cranial Nerve Injuries|Fifth Cranial Nerve Injury|Fifth-Nerve Palsies, Traumatic|Fifth Nerve Palsy, Traumatic|Fifth-Nerve Palsy, Traumatic|Fifth Nerve Trauma|Fifth-Nerve Trauma|Fifth-Nerve Traumas|Injuries, Trigeminal Nerve|Injury, Cranial Nerve V|Injury, Fifth Cranial Nerve|Injury, Trigeminal Nerve|Nerve Avulsions, Trigeminal|Nerve Avulsion, Trigeminal|Nerve Contusions, Trigeminal|Nerve Contusion, Trigeminal|Nerve Injuries, Trigeminal|Nerve Injury, Trigeminal|Nerve Transections, Trigeminal|Nerve Transection, Trigeminal|Nerve Traumas, Trigeminal|Nerve Trauma, Trigeminal|Neuropathies, Traumatic Trigeminal|Neuropathy, Traumatic Trigeminal|Palsies, Traumatic Fifth-Nerve|Palsy, Traumatic Fifth-Nerve|Transections, Trigeminal Nerve|Transection, Trigeminal Nerve|Trauma, Fifth-Nerve|Traumas, Fifth-Nerve|Traumas, Trigeminal Nerve|Traumatic Fifth-Nerve Palsies|Traumatic Fifth Nerve Palsy|Traumatic Fifth-Nerve Palsy|Traumatic Trigeminal Neuropathies|Traumatic Trigeminal Neuropathy|Trauma, Trigeminal Nerve|Trigeminal Nerve Avulsion|Trigeminal Nerve Avulsions|Trigeminal Nerve Contusion|Trigeminal Nerve Contusions|Trigeminal Nerve Injury|Trigeminal Nerve Transection|Trigeminal Nerve Transections|Trigeminal Nerve Trauma|Trigeminal Nerve Traumas|Trigeminal Neuropathies, Traumatic|Trigeminal Neuropathy, Traumatic",Mouth disease|Nervous system disease|Wounds and injuries
Trigeminal Neuralgia,MESH:D014277,DO:DOID:12098,"A syndrome characterized by recurrent episodes of excruciating pain lasting several seconds or longer in the sensory distribution of the TRIGEMINAL NERVE. Pain may be initiated by stimulation of trigger points on the face, lips, or gums or by movement of facial muscles or chewing. Associated conditions include MULTIPLE SCLEROSIS, vascular anomalies, ANEURYSMS, and neoplasms. (Adams et al., Principles of Neurology, 6th ed, p187)",MESH:D020433,C07.465.299.625.500.700|C10.292.319.625.700.700,C07.465.299.625.500|C10.292.319.625.700,"Disease, Fothergill|Epileptiform Neuralgia|Epileptiform Neuralgias|Fothergill Disease|Idiopathic Trigeminal Neuralgia|Idiopathic Trigeminal Neuralgias|Neuralgia, Epileptiform|Neuralgia, Idiopathic Trigeminal|Neuralgia, Secondary Trigeminal|Neuralgia, Trifacial|Neuralgia, Trigeminal|Secondary Trigeminal Neuralgia|Secondary Trigeminal Neuralgias|Tic Doloureux|Tic Douloureux|Trifacial Neuralgia|Trifacial Neuralgias|Trigeminal Neuralgia, Idiopathic|Trigeminal Neuralgias|Trigeminal Neuralgia, Secondary",Mouth disease|Nervous system disease
Trigger Finger Disorder,MESH:D052582,,"A painful disability in the hand affecting the finger or thumb. It is caused by mechanical impingement of the digital flexor tendons as they pass through a narrowed retinacular pulley at the level of the metacarpal head. Thickening of the sheath and fibrocartilaginous metaplasia can occur, and nodules can form. (From Green's Operative Hand Surgery, 5th ed, p2137-58).",MESH:D053682,C05.651.869.816.800,C05.651.869.816,"Digits, Trigger|Digit, Trigger|Entrapment, Flexor Tendon|Entrapments, Flexor Tendon|Finger, Snapping|Fingers, Snapping|Flexor Tendon Entrapment|Flexor Tendon Entrapments|Snapping Finger|Snapping Fingers|Tendon Entrapment, Flexor|Tendon Entrapments, Flexor|Thumbs, Trigger|Thumb, Trigger|Trigger Digit|Trigger Digits|Trigger Thumb|Trigger Thumbs",Musculoskeletal disease
"Triglyceride Storage Disease, Type I",MESH:C566031,,,MESH:D008052,C16.320.565.398/C566031|C18.452.584.563/C566031|C18.452.648.398/C566031,C16.320.565.398|C18.452.584.563|C18.452.648.398,,Genetic disease (inborn)|Metabolic disease
"Triglyceride Storage Disease, Type II",MESH:C566030,,,MESH:D008052,C16.320.565.398/C566030|C18.452.584.563/C566030|C18.452.648.398/C566030,C16.320.565.398|C18.452.584.563|C18.452.648.398,,Genetic disease (inborn)|Metabolic disease
"Trigonobrachycephaly, Bulbous Bifid Nose, Micrognathia, and Abnormalities of the Hands and Feet",MESH:C564759,,,MESH:D003398|MESH:D005532|MESH:D006228|MESH:D008844|MESH:D011596,C05.116.099.370.894.232/C564759|C05.330.495/C564759|C05.390.408/C564759|C05.500.460.457/C564759|C05.660.207.240/C564759|C05.660.207.540.460.457/C564759|C05.660.585.512.380/C564759|C05.660.585.988.425/C564759|C05.660.906.364/C564759|C07.320.440.457/C564759|C07.650.500.460.457/C564759|C10.597.606.881/C564759|C16.131.621.207.240/C564759|C16.131.621.207.540.460.457/C564759|C16.131.621.585.512.500/C564759|C16.131.621.585.988.500/C564759|C16.131.621.906.364/C564759|C16.131.850.500.460.457/C564759|C23.888.592.604.882/C564759,C05.116.099.370.894.232|C05.330.495|C05.390.408|C05.500.460.457|C05.660.207.240|C05.660.207.540.460.457|C05.660.585.512.380|C05.660.585.988.425|C05.660.906.364|C07.320.440.457|C07.650.500.460.457|C10.597.606.881|C16.131.621.207.240|C16.131.621.207.540.460.457|C16.131.621.585.512.500|C16.131.621.585.988.500|C16.131.621.906.364|C16.131.850.500.460.457|C23.888.592.604.882,,Congenital abnormality|Mouth disease|Musculoskeletal disease|Nervous system disease|Signs and symptoms
"Trigonocephaly, Nonsyndromic",MESH:C562951,,,MESH:D003398,C05.116.099.370.894.232/C562951|C05.660.207.240/C562951|C05.660.906.364/C562951|C16.131.621.207.240/C562951|C16.131.621.906.364/C562951,C05.116.099.370.894.232|C05.660.207.240|C05.660.906.364|C16.131.621.207.240|C16.131.621.906.364,"Craniosynostosis, Metopic",Congenital abnormality|Musculoskeletal disease
Trilogy of Fallot,MESH:D014286,,A combination of congenital heart defects consisting of three key features including ATRIAL SEPTAL DEFECTS; PULMONARY STENOSIS; and RIGHT VENTRICULAR HYPERTROPHY.,MESH:D006330,C14.240.400.960|C14.280.400.960|C16.131.240.400.960,C14.240.400|C14.280.400|C16.131.240.400,"Fallot's Trilogy|Fallots Trilogy|Fallot Trilogy|Trilogy, Fallot's",Cardiovascular disease|Congenital abnormality
Trimethylaminuria,MESH:C536561,DO:DOID:0080361|OMIM:602079,,MESH:D008661,C16.320.565/C536561|C18.452.648/C536561,C16.320.565|C18.452.648,Fish malodor syndrome|Fish odor syndrome|Fish-Odor Syndrome|Stale Fish Syndrome|TMAU|TMAuria,Genetic disease (inborn)|Metabolic disease
Triosephosphate Isomerase Deficiency,MESH:C566029,DO:DOID:0050884|OMIM:615512,,MESH:D000746|MESH:D002239,C15.378.071.141.150.100/C566029|C16.320.070.100/C566029|C16.320.565.202/C566029|C18.452.648.202/C566029,C15.378.071.141.150.100|C16.320.070.100|C16.320.565.202|C18.452.648.202,TPID,Blood disease|Genetic disease (inborn)|Metabolic disease
Triphalangeal Thumb,MESH:C573898,,,MESH:D006228,C05.390.408/C573898|C05.660.585.988.425/C573898|C16.131.621.585.988.500/C573898,C05.390.408|C05.660.585.988.425|C16.131.621.585.988.500,,Congenital abnormality|Musculoskeletal disease
Triphalangeal thumb non opposable,MESH:C536562,,,MESH:D006228,C05.390.408/C536562|C05.660.585.988.425/C536562|C16.131.621.585.988.500/C536562,C05.390.408|C05.660.585.988.425|C16.131.621.585.988.500,"Non-opposable triphalangeal thumb|Triphalangeal Thumb, Nonopposable",Congenital abnormality|Musculoskeletal disease
Triphalangeal thumbs brachyectrodactyly,MESH:C536564,,,MESH:D000015,C16.131.077/C536564,C16.131.077,Triphalangeal thumb and brachy-ectrodactyly syndrome|Triphalangeal thumb and brachyectrodactyly syndrome|Triphalangeal Thumbs with Brachyectrodactyly,Congenital abnormality
Triphalangeal Thumb with Double Phalanges,MESH:C566028,,,MESH:D006228,C05.390.408/C566028|C05.660.585.988.425/C566028|C16.131.621.585.988.500/C566028,C05.390.408|C05.660.585.988.425|C16.131.621.585.988.500,,Congenital abnormality|Musculoskeletal disease
Triple Negative Breast Neoplasms,MESH:D064726,,Breast neoplasms that do not express ESTROGEN RECEPTORS; PROGESTERONE RECEPTORS; and do not overexpress the NEU RECEPTOR/HER-2 PROTO-ONCOGENE PROTEIN.,MESH:D001943,C04.588.180.788|C17.800.090.500.788,C04.588.180|C17.800.090.500,"Breast Cancers, Triple-Negative|Breast Cancer, Triple-Negative|Breast Neoplasms, Triple-Negative|Breast Neoplasm, Triple-Negative|ER Negative PR Negative HER2 Negative Breast Cancer|ER-Negative PR-Negative HER2-Negative Breast Cancer|ER Negative PR Negative HER2 Negative Breast Neoplasms|ER-Negative PR-Negative HER2-Negative Breast Neoplasms|Triple Negative Breast Cancer|Triple-Negative Breast Cancer|Triple-Negative Breast Cancers|Triple Negative Breast Neoplasm|Triple-Negative Breast Neoplasm|Triple-Negative Breast Neoplasms",Cancer|Skin disease
Triple X syndrome,MESH:C535318,,,MESH:D012729|MESH:D014314|MESH:D058533,C12.050.351.875.253.795/C535318|C12.200.706.316.795/C535318|C12.800.316.795/C535318|C16.131.260.830.835/C535318|C16.131.939.316.795/C535318|C16.320.180.830.835/C535318|C19.391.119.795/C535318|C23.550.210.050.750/C535318|C23.550.210.182.500/C535318|C23.550.210.815/C535318,C12.050.351.875.253.795|C12.200.706.316.795|C12.800.316.795|C16.131.260.830.835|C16.131.939.316.795|C16.320.180.830.835|C19.391.119.795|C23.550.210.050.750|C23.550.210.182.500|C23.550.210.815,"47,Xxx|47,XXX syndrome|Super female|Triple-X chromosome syndrome|Triple-X female|Triplo X syndrome|Trisomy X|XXX syndrome",Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Pathology (process)|Urogenital disease (female)|Urogenital disease (male)
Triploidy,MESH:D057885,,"Polyploidy with three sets of chromosomes. Triploidy in humans are 69XXX, 69XXY, and 69XYY. It is associated with HOLOPROSENCEPHALY; ABNORMALITIES, MULTIPLE; PARTIAL HYDATIDIFORM MOLE; and MISCARRAGES.",MESH:D011123,C23.550.210.702.500,C23.550.210.702,Triploid|Triploidies|Triploids,Pathology (process)
