entity1	theme	entity2
3-hydroxy-3-methylglutaric	treatment	aciduria
3-deazauridine	treatment	hl-60_myeloid_leukemic
1-methyl-4-phenylpyridine	treatment	parkinsonian
4-nitroquinoline_1_oxide	treatment	lytic_cmv_infection
17-hydroxyprogesterone	treatment	typical_polycystic_ovary_syndrome
25-hydroxyvitamin_d	treatment	tem
1,4-hydrazone	treatment	leukemia
2-bromolysergic_acid_diethylamide	treatment	neurotoxicity
3,4-methylenedioxymethamphetamine	treatment	cannabis
1,2,3,4-tetrahydro-1-acridone	treatment	amyloid-beta_and_tau_aggregation
2,6-dinitrotoluene	treatment	toxicity
5-asa	treatment	iri
4-methylumbelliferone	treatment	mpnst
25-hydroxyvitamin_d	treatment	bladder_cancer
24s-hydroxycholesterol	treatment	neurodegenerative_diseases
18f-fedac	treatment	arthritic_joints
2-hydroxyethyl_methacrylate	treatment	hema
17_alpha_ethinyl_estriol	treatment	tumors
1,25_dihydroxyvitamin_d3	treatment	breast_cancer
3-npa	treatment	toxicity
3h-thymidine	treatment	prostate_tumors
3-pufa	treatment	gbm
25-hydroxyvitamin_d	treatment	sleep_disorders
1242-mg	treatment	glioblastoma
2,6-disubstituted_pyrazines	treatment	nephritis
4-aminopyridine	treatment	hypertensive
4-hydroxycoumarin	treatment	planar_structure
1,3-butanediol	treatment	cerebral_ischemia
18f-fdg	treatment	neuroendocrine_tumors
3-hydroxyacyl-coa	treatment	long-chain_hydroxyacylcarnitines_and_deficiencies
25-hydroxyvitamin_d	treatment	rheumatoid_arthritis
18-fluoro-2-deoxy-d-glucose	treatment	adenocarcinoma
4-cmc	treatment	malignant_hyperthermia
2,6-diformyl-4-methylphenol	treatment	melanoma_cancer
17_beta-estradiol	treatment	ovarian_surface_epithelial
4-hydroxynonenal	treatment	tumor
3-carboethoxy-beta-carboline_hydrochloride	treatment	tremor
4-1bb-fc	treatment	sepsis
2mesamp	treatment	platelet_aggregation
1-beta-d-arabinofuranosylcytosine	treatment	aml
14c-testosterone	treatment	anorexia_nervosa
1,2-dimethyl-3-hydroxypyrid-4-one	treatment	renal_dialysis
25-hydroxyvitamin_d	treatment	dyslipidemia
2-me	treatment	bladder_cancer
3-lysine-27-methionine	treatment	diffuse_midline_gliomas
1,25-dihydroxyvitamin_d3	treatment	calvarial_osteoblasts
5-amino-salicylic_acid	treatment	inflammatory_bowel_disease
3-hk	treatment	chagas_disease
3mga	treatment	liver_fibrosis
5,6-benzoflavone	treatment	cytotoxicity
17-aag	treatment	hl
2-deoxy-d-glucose	treatment	triple-negative_breast_cancer
12-o-tetradecanoyl_phorbol-13-acetate	treatment	excess_lung_tumors
2-acetylaminofluorene	treatment	liver_tumors
2,3-dimethoxy-1,4-naphthoquinone	treatment	necrosis
4-arylidene_curcumin	treatment	cytotoxicity
4-hexylresorcinol	treatment	cancer
4-psq	treatment	ad-like_lesions
5-aminoimidazole-4-carboxamide-1-b-d-ribofuranoside	treatment	hyperphagia
1,25-dihydroxyvitamin-d3	treatment	chronic_renal_failure
123i-mibg	treatment	hepatic_hemangioma
5-aminolevulinic_acid	treatment	nasal_inverted_papilloma
2-deoxyglucose	treatment	seizures
17a-ethinylestradiol	treatment	fry_malformation
1-methyl_4-phenyl_1,2,3,6-tetrahydropyridine	treatment	neurodegeneration
18f-fluorodeoxyglucose	treatment	adrenocortical_adenomas
12-o-tetradecanoyl-phorbol_13-acetate	treatment	hepatoma
3-hydroxyterphenyllin	treatment	ovarian_carcinoma
1o2	treatment	cancer
1-deazaadenosine	treatment	platelet_aggregation
18f-fluorodeoxyglucose	treatment	nsclc
17beta-estradiol	treatment	critical_cardiac_output
2,5-hd	treatment	axonal_neuropathy
15d-pgj	treatment	ocular_inflammation
17b-e	treatment	ts
17b-estradiol	treatment	coronary_heart_disease
400-425g	treatment	head_injury
3-nitrotyrosine	treatment	lacunar_stroke
2-cda	treatment	recalcitrant_disease
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	treatment	nigrostriatal_toxicity
4-hydroxy-phenyl-retinamide	treatment	carcinoma
13bhcl	treatment	tumor
18f-fluorodeoxyglucose	treatment	ovarian_cancer
2-butoxyethanol	treatment	acute_hemolytic_anemia
18-fluoro-deoxyglucose	treatment	myeloma
13-cis-retinoic_acid	treatment	rosacea
2-dg	treatment	tumor
5-aminolevulinic_acid	treatment	tumours
15d-pgj2	treatment	arthritis
2-o-phosphorylated_ascorbate-6-o-palmitylester	treatment	tumor
3,4-dap	treatment	lems
2-apb	treatment	testicular_damage
4-nitroquinoline-1-oxide	treatment	escc
3-morpholinosydnonimine	treatment	stretch_injury
2-amino-3h-phenoxazin-3-one	treatment	melanoma
4-pb	treatment	tumour
4-aminopyridine	treatment	ms
13-cis-retinoic_acid	treatment	evolution_of_skeletal_hyperostoses
4-hydroperoxycyclophosphamide	treatment	leukemia
2abi	treatment	infections
2-pag	treatment	breast_and_gastric_cancer
16,16-dimethyl_prostaglandin_e2	treatment	intestinal_lesions
13-cis-retinoic_acid	treatment	short_stature
57co-bleomycin	treatment	lung_cancer
166ho-dotmp	treatment	multiple_myeloma
188re-mag2-rgd-bombesin	treatment	prostate_cancer
3m-052	treatment	cancer
25-hydroxyvitamin_d3	treatment	bmd
5,7-dihydroxy-3,6,8-trimethoxy-2-phenyl-4h-chromen-4-one	treatment	carcinomas_of_the_colon_and_pancreas
3,4-dideoxyglucosone-3-ene	treatment	cytotoxicity
2ccpa	treatment	fibrosis
25-hydroxyvitamin_d	treatment	neuromuscular_diseases
11c-methionine	treatment	glioblastoma
15d-pgj2	treatment	prostate_cancer
4-oh-cpa	treatment	tumor
3-oola	treatment	nsclc
25-hydroxyvitamin_d	treatment	gdm
15-deoxyspergualin	treatment	diabetes
2-hydroxyquinoxaline	treatment	toxicity
3-nitrotyrosine	treatment	pneumonia
4-aminopyridine	treatment	spinal_cord_injury
131i-metaiodobenzylguanidine	treatment	pheochromocytoma
4-chloro-2-butynyl_m-chlorocarbanilate	treatment	toxicity
3-acyl-5-hydroxybenzofuran	treatment	breast_cancer
18alpha-ga	treatment	constriction
2-chloro-n6-cyclopentyladenosine	treatment	ischemia
5-asa	treatment	corticosteroid-resistant_distal_colitis
2,3-benzodiazepine-4-one	treatment	leukemia
2,3-dimercaptopropanol	treatment	gastroduodenal_ulcers
2,4-dichlorophenoxyacetate	treatment	myotonia
2,4,6-trinitrobenzenesulfonic_acid	treatment	inflammation
123i-metaiodobenzylguanidine	treatment	pheochromocytoma
2-amino-7-phosphono_heptanoate	treatment	neurological_syndrome
2-chloroprocaine	treatment	inguinal_hernia
4-hydroxyaminoquinoline-1-oxide	treatment	atypical_acinar_cell_lesions_of_the_pancreas
3-hydroxybutyrate	treatment	ad
25-hydroxyvitamin_d	treatment	cis
3-methyl-cholanthrene	treatment	carcinomas
3npa	treatment	cardiotoxic
17-hydroxycorticosteroid	treatment	thyroid_dysfunction
5-ala	treatment	gastric_cancer
3,4-diaminopyridine	treatment	lambert-eaton_syndrome
51cr-beta-glycerophosphate	treatment	brain_tumor
4-hipa	treatment	decalepis_hamiltonii_roots
4-hydroxyamesergide	treatment	platelet_aggregation
4-methylumbelliferone	treatment	inflammation
5-ala	treatment	carcinoma
17-aag	treatment	heat_shock
3-methylcholanthrene	treatment	primary_tumors
17-ohp	treatment	pcos
23-hta	treatment	renal_damage
2hf	treatment	bc
5,6,7-trinor-4,8-inter-m-phenylene-pgi2	treatment	platelet_aggregation
1,2_dimethylhydrazine	treatment	colorectal_tumours
131i	treatment	pulmonary_aspergilloma
1-sarcosine	treatment	hypertension
131i-6beta-iodomethyl-19-norcholesterol	treatment	adrenal_metastases
18f-fdg	treatment	primary_breast_cancer_lesions
3-o-acetyl-11-keto-b-boswellic_acid	treatment	cancer
2-methoxyestradiol	treatment	myeloma
1,2-dithiole-3-thione	treatment	tumors
1-naphthyl_chlorocarbonate	treatment	necrosis
17-phenyl-omega-trinor-pge2	treatment	cytotoxicity
1_alpha_hydroxycholecalciferol	treatment	renal_osteodystrophy
4-pyridoxic_acid	treatment	bladder_cancer
3b-hydroxysteroid	treatment	dehydrogenase_deficiency
17b-oestradiol	treatment	anoestrous_ewes
3n-butyrate	treatment	colorectal_cancer
2,3,7,8-tetrachlorodibenzo-p-dioxin	treatment	thyroid_dysfunction
11-deoxycorticosterone	treatment	hyperplasia
1alpha-hydroxyvitamin_d2	treatment	tumor
4c	treatment	scd
4-hpr	treatment	all
3,4-dihydroxyphenylacetic_and_homovanillic_acids	treatment	hypothyroidism
3,4-dihydroxybenzylamine	treatment	melanoma
25-hydroxyvitamin_d	treatment	lung_cancer
1,2-dimethylhydrazine	treatment	intestinal_carcinoma
1,1,2-trisubstituted-1h-indenes	treatment	low-valent_nb
1-methylnicotinamide	treatment	brain_failures
2-dg	treatment	brain_injury
5-asa	treatment	inflammatory_bowel_diseases
4alphapdd	treatment	wt
4beta-phorbol_12,13-dibutyrate	treatment	renal_nerve_activity
18f-flt	treatment	pancreatic_cancer
4-fluoroamphetamine	treatment	takotsubo_syndrome
17beta-estradiol	treatment	male_rainbowfish
25-oh_vitamin_d	treatment	diabetic
3-nitropropionic_acid	treatment	startle
4-s-cap	treatment	amelanotic_tumours
4-hydroxynonenal	treatment	ad
1,2-dimethylhydrazine	treatment	preneoplastic_lesions
2,3,7,8-tetrachlorodibenzo-p-dioxin	treatment	intrauterine_fetal_death
22-oxa-1,25-dihydroxyvitamin_d3	treatment	breast_cancer
2,4-dichlorophenoxyacetic_acid	treatment	polyneuropathy
15-epi-lxa4	treatment	chf
3-chloro-1,2-propanediol	treatment	testis_injury
18f-fdg	treatment	non-small_cell_lung_cancer
3-acetylpyridine	treatment	excitotoxic_lesions
4-asa	treatment	ulcerative_colitis
25-hydroxyvitamin_d	treatment	pd
18f-fdg	treatment	subacute_thyroiditis
1-methyl-4-phenylpyridinium	treatment	excitotoxic_lesions
3-mca	treatment	fibrosarcomas
14c-leucine	treatment	bladder_carcinoma
25ohd	treatment	cd
10-oxa-5,8-dideazafolic_acid	treatment	tumor
3h-estradiol	treatment	hypothalamus
18b-glycyrrhetinic_acid	treatment	inflammation
1-deamino_8d-arginine_vasopressin	treatment	hemophilia_a
13-cis-retinoic_acid	treatment	cystic_acne
1,3-dichloropropene	treatment	ms
3-sulfogalactocerebroside	treatment	arsa_deficiency
2-me	treatment	osteosarcoma
5-aminolevulinic_acid	treatment	malignancies
11c-met	treatment	ihcp
13-cis-ra	treatment	malformations
18-hydroxy-corticosterone	treatment	adenoma
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	treatment	degeneration_of_tyrosine_hydroxylase
2cda	treatment	gastric_malt_lymphoma
3-methoxytyramine	treatment	neuroblastoma
4-cholesten-3-one	treatment	colon_cancer
18f-fdg	treatment	opscc
17-aag	treatment	lung_adenocarcinoma
2,4,6-trinitrochlorobenzene	treatment	hypersensitivity
18f-2-deoxy-fluoro-d-glucose	treatment	lung_cancer
3,4-methylenedioxymethamphetamine	treatment	damage_to_serotonergic_axons_and_memory_impairment
1,2-nq	treatment	asthma
3-dcrt	treatment	nsclc
5-aminosalicylic_acid	treatment	proctitis
17-beta-estradiol	treatment	osteolytic_lesions
3-hydroxy-3-methylglutaryl_coenzyme_a	treatment	prostate_cancer
17b-estradiol	treatment	cardiac_arrest
2-allyl-2-isopropylacetamide	treatment	hepatic_haem_turnover
1-amino-2-hydroxy-guanidine	treatment	circulatory_failure_and_attenuates_the_dysfunction_of_liver
4-hydroxytamoxifen	treatment	cytotoxicity
3-hydroxy-3-methylglutaryl_coenzyme_a	treatment	hyperlipidemia
5-asa	treatment	crc
1alpha-hydroxyvitamin_d3	treatment	bone_disease
18f-fdg	treatment	lymph_nodes
4-ap	treatment	aps
5,6-dihydroxyindole-2-carboxylic_acid	treatment	melanoma
2-cda	treatment	follicular_lymphomas
27-hydroxycholesterol	treatment	estrogen_receptor_positive_breast_cancer
51cr-edta	treatment	intestinal_diseases
153sm-edtmp	treatment	bone_metastases
2,2,2-trifluoroethanol	treatment	insoluble_aggregates
12-0-tetradecanoylphorbol	treatment	b-pll
4-amino-2-trifluoromethyl-phenyl_retinate	treatment	apl
12-o-tetradecanoylphorbol_13-acetate	treatment	neuroblastoma
11beta-hydroxysteroid	treatment	congenital_adrenal_hyperplasia
2-deoxy-d-glucose	treatment	reducing_neointimal_hyperplasia
20-hete	treatment	hypotension
12-o-tetradecanoyl-phorbol-13-acetate	treatment	protein_kinase_c
111in-rp748	treatment	myocardium
1-ethyl-2-benzimidazolinone	treatment	epileptiform_activity
15n	treatment	dissolved_inorganic_nitrogen
3dcrt	treatment	cancer
2-hydroxyglutarate	treatment	hypoxia
18f-fdg	treatment	fibromatosis
3h-daunorubicin	treatment	myeloma
25-hydroxycholecalciferol	treatment	renal_osteodystrophy
1,2-dimethyl-hydrazine	treatment	colonic_tumors
16-methylene-prednisolone	treatment	premature_labor
2-mercaptopropionylglycine	treatment	mitochondrial_dysfunction
4-nitroquinoline_1-oxide	treatment	development_of_tongue_carcinoma
5-ala	treatment	upper_urinary_tract_urothelial_cancers
4h3mc	treatment	ad
4-hne	treatment	poisoning
1668-thioate	treatment	tlr9-d
25-hydroxyvitamin_d	treatment	myopia
153sm-edtmp	treatment	spontaneous_skeletal_neoplasia
5,10-methylenetetrahydrofolate	treatment	ccc
1.2-dichloropropane	treatment	cholangiocarcinoma
3,7-dimethyl-1-propargylxanthine	treatment	contralateral_rotation
1-nco	treatment	hypoxia
3-oxoglutarate	treatment	cancer
3-vinylazetidin-2-ones	treatment	breast_cancer
1-methyl-4-phenyl-1,2,3,6_tetrahydropyridine	treatment	neurotoxic
18f-fdg	treatment	mucoepidermoid_carcinoma
18f-fdg	treatment	brain_lymphoma
17alpha_methyltestosterone	treatment	anxiety
3-methyl-1-phenyl-2-pyrazolin-5-one	treatment	brain_injury
1,5-ag	treatment	hypoglycemia
3,4-diaminopyridine	treatment	neuromuscular_block
17-beta-estradiol	treatment	postmenopausal_bone_loss
3-bromopyruvate	treatment	liver_cancer
17oh_progesterone	treatment	degree_of_deficiency
546c88	treatment	sepsis
13-cis-retinoic_acid	treatment	myelodysplastic_syndromes
5-aminosalicylate	treatment	cytotoxicity
2,4-d_ester	treatment	toxicity
2-nitroimidazole	treatment	hypoxia
2,3-dhba	treatment	co_poisoning
4-oha	treatment	melanoma
5alpha-pregnan-3alpha-ol-20-one	treatment	ventral_tegmental_area
4-hydroperoxy-cyclophosphamide	treatment	leukemia
17-aag	treatment	nb
13asa	treatment	mcf-7_and_mda-mb-231_breast_cancer
1-tert-butyl-6-cyano-1,2,3,4-tetrahydroquinoline	treatment	intramolecular_charge_transfer
13-acetate	treatment	protein_kinase_c
1-octadecanethiol	treatment	copper_covered
18f-flt	treatment	tumors
2,3,5-triphenyltetrazolium_chloride	treatment	neuron_damage
4-methylumbelliferone	treatment	adhesion
2famp	treatment	astrocytomas
2-chloroprocaine	treatment	labor_analgesia
13-cis-retinoic_acid	treatment	malignancies
1,25-dihydroxy_vitamin_d3	treatment	renal_osteodystrophy
18a-ga	treatment	gingival_overgrowth
27-hydroxycholesterol	treatment	copd
4-aminomethyl-1-benzylpyrrolidine-2-one_hemifumarate	treatment	cognitive_enhancer
2-methyl-4-phenylpentanol	treatment	toxicity
2-cda	treatment	ruptured_aneurysm
4-desmethyl-10,11-didehydroepothilone_d	treatment	tumor
15-hydroperoxyu-eicosatetraenoic_acid	treatment	platelet_aggregation
15-hydroxyeicosatetraenoic_acid	treatment	hypoxia
2,4,5-trichlorophenoxyacetic_acid	treatment	liver_enlargement
15-deoxy-delta-12,14-prostaglandin_j2	treatment	mantle_cell_lymphoma
1,25-dihydroxycholecalciferol	treatment	hip_fracture
3,4-methylenedioxymethamphetamine	treatment	bruxism
2-pam	treatment	depression
3-dhs	treatment	uterine_abnormalities
4-hydroxyestradiol	treatment	tumors
3-month_l-arginine	treatment	necrosis
25-ohd3	treatment	diabetic_periodontitis
3-n-butylphthalide	treatment	brain_damage
1,3-dicyclohexylurea	treatment	hypertensive
5,6-mexaa	treatment	carcinomas
17beta-oestradiol	treatment	mcao
3-o-methylfunicone	treatment	breast_cancer
2-bromoethylamine_hydrobromide	treatment	hypertension
11c-methionine	treatment	intracranial_tuberculomas
18f-fluorocholine	treatment	prostate_cancer
3-methylcrotonyl-coa	treatment	decreased_dissociation
17-hdha	treatment	heat_pain
17-hydroxysteroids	treatment	hypertension
2h	treatment	dependence
17_beta-estradiol	treatment	mca_occlusion
2-cda	treatment	marrow_disease
1-methyl-4-phenyl-1,2,3,6-tetrahidropyridine	treatment	neurotoxicity
123i-tyr3-octreotide	treatment	gep-tumours
1,25-dihydroxycholecalciferol	treatment	hypocalcemia
1-phenyl-2-dimethylamino-ethoxymethyl_tetrazole_hydrochloride	treatment	hypotensive
17-hydroxycorticosteroids	treatment	obesity
2,3,5-triphenyltetrazolium_chloride	treatment	cerebral_damage
1,25-d3	treatment	ra
1-methylsilacyclobutane	treatment	cvd
5-aminolevulinic_acid	treatment	bladder_transitional_cell_cancers
17beta-estradiol	treatment	neurodegenerative_diseases
1,2-dimethylhydrazine_dihydrochloride	treatment	colon_cancer
17dd-yfv	treatment	yellow_fever
3,4-dihydroxy-l-phenylalanine	treatment	neurologic_and_oncologic_diseases
1-alpha-hydroxyvitamin_d3	treatment	malabsorption
5,5-diphenylhydantoin	treatment	epileptics
2-cda	treatment	malignancies
10-edam	treatment	lung_cancer
1-o-alkyl-2-acetyl-sn-glyceryl-3-phosphorylcholine	treatment	fatal_anaphylactoid_reaction
5aris	treatment	bph
1,25-dihydroxyvitamin_d3	treatment	oral_squamous_carcinoma
4-methylbenzenecarbothioamide	treatment	necrosis
1-piperonylpiperazine	treatment	neurotoxicity
2-chlorodeoxyadenosine	treatment	leukaemias
18f-fluorodeoxyglucose	treatment	esophageal_adenocarcinoma
1-hydroxypyrene-2-carbaldehyde	treatment	mp
1-methyl-2-imidazolethiol	treatment	hypothyroid
2-cda	treatment	b-cll
1,6-hexamethylene_diamine	treatment	hdi
17beta-estradiol	treatment	mammary_dysplasia
1,2-dimethylhydrazine_dihydrochloride	treatment	vascular_injury
1-methyl_4-phenyl-1,2,3,6_tetrahydropyridine	treatment	neurotoxicity
4-demethoxydaunorubicin	treatment	non-small_cell_lung_cancer
1-methyl-4-phenyl-1,2,3-6-tetrahydropyridine	treatment	neurotoxic
4-pba	treatment	renal_injury
4-oh-ile	treatment	fse
1,3-butadiene	treatment	toxicity
3-methoxy-4-hydroxyphenylethyleneglycol	treatment	coma
2-deoxy-d-glucose	treatment	ascites_tumor
17beta-estradiol	treatment	infarct
18f-fluorodeoxyglucose	treatment	adhesive_capsulitis
25-hydroxyvitamin_d	treatment	ovarian_cancer
2-pyridine_aldoxime_methochloride	treatment	toxicity
4-vo	treatment	neuronal_damage
4-aminoquinolines	treatment	infections
123i-iomazenil	treatment	hepatic_encephalopathy
5-ala	treatment	urinary_bladder_carcinoma
18f_fluorodeoxyglucose	treatment	infective_endocarditis
12-o-tetradecanoyl-1,2-phorbol_13-acetate	treatment	pkc
25-hydroxyvitamin_d	treatment	skin_diseases
11-deoxycorticosterone	treatment	adrenal_insufficiency
4-bromophenol	treatment	hp
4-phenylbutyrate	treatment	ornithine_transcarbamylase_deficiency
11c-pk11195	treatment	atherosclerosis
2dg	treatment	n-linked_glycosylation
25-hydroxyvitamin_d	treatment	colorectal_liver_metastases
5-aminosalicylic_acid	treatment	thrombocytopenia
18f-fluorodeoxyglucose	treatment	metastases
1,25-dihydroxyvitamin_d3	treatment	osteosarcoma
2-aminoethanesulfonic_acid	treatment	aortic_valve_damage
3,5,6-trichloro-2-pyridinol	treatment	cp
1-desamino-8-d-arginine_vasopressin	treatment	bleeding
1_alpha-hydroxycholecalciferol	treatment	chronic_renal_failure
17beta-estradiol	treatment	endometrial_cancer
4-quinolones	treatment	infections
3-mc	treatment	toxicity
1,2-dimethylhydrazine	treatment	sarcomas
2-deoxyglucose	treatment	scn
1,3-dichloropropene	treatment	ed
3-deazaguanosine	treatment	cytotoxicity
123i-metaiodobenzylguanidine	treatment	kd
3,4-methylenedioxyethamphetamine	treatment	hyperthermia
2,4-dimethoxyphenyl-e-4-arylidene-3-isochromanone	treatment	tumor
18f-fdg	treatment	adenocarcinoma_of_the_urethra
1-alpha-hydroxycholecalciferol	treatment	renal_osteodystrophy
17-ketosteroids	treatment	diabetics
3h-thymidine	treatment	carcinomas
3-ma	treatment	choke_ii
2-sulfanilamido-3-methoxypyridazine	treatment	trachoma
13-cis-retinoic_acid	treatment	acne
17-dmag	treatment	stroke
4-fa	treatment	toxicity
17beta-estradiol	treatment	tension
18f-fluorodeoxyglucose	treatment	non-small_cell_lung_cancer
2,3-dpg	treatment	bleeding
17-beta-estradiol	treatment	cardiomyopathy
1,25-dihydroxyvitamin_d3	treatment	acute_myelogenous_leukemia
2,6-diaminopyridine	treatment	allergic_hand_dermatitis
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	treatment	ulcers
11beta-hydroxysteroid	treatment	hypertensive
15c-urea	treatment	helicobacter_pylori_infection
1,3-dichloropropene	treatment	emergency_department
11c-methionine	treatment	tumor
2-methoxyestradiol	treatment	endometrial_cancer_hec-1-a
1-methylcyclopropene	treatment	storage_disorders
17beta-estradiol	treatment	ovarian_tumors
17alpha-hydroxyprogesterone	treatment	congenital_adrenal_hyperplasia
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	treatment	parkinson_disease
57co-bleomycetin	treatment	hyperglycemia
3-hydroxy-3-methylglutaryl-coenzyme_a	treatment	rheumatoid_arthritis
17beta-estradiol	treatment	early_vascular_lesion
2-oxa-3-oxocastanospermine	treatment	breast_cancer
3h-25-oxycholecalciferol	treatment	fracture
25-hydroxycholesterol	treatment	muscle_wasting
1,1-dichlorodiphenildichloroethane	treatment	ddd
3h-thymidine	treatment	carcinoma
3-methylindole	treatment	pulmonary_lesions
2-hydroxyglutaric_aciduria	treatment	l-2-hydroxyglutaric_aciduria
17-b-estradiol	treatment	vaginal_atrophy
2-deoxyglucose	treatment	visual-vestibular_stimulation
1-alkenyl-paf	treatment	platelet_aggregation
2-deoxyglucose	treatment	hypoxia
5,10_methylenetetrahydrofolic_acid	treatment	colorectal_cancer
10b1-paraboronophenylalanine-hcl	treatment	melanoma
111in-psma-617	treatment	pca
2,4-dichlorphenoxyacetic_acid	treatment	poisoning
18f-2-fluorodeoxysorbitol	treatment	pituitary_spindle_cell_carcinoma
5,10-ch2fh4	treatment	colon_carcinoma
2-cda	treatment	aiha
16,16-dimethyl_pge2	treatment	ulcer
1,2-dimethylhydrazine	treatment	acf
2,3,5-triphenyltetrazolium	treatment	brain_injury
2-deoxy-d-glucose	treatment	breast_cancer
12-hete	treatment	atopic_dermatitis
4-nitroquinoline-1-oxide	treatment	grape_seed_extract
1-desamino-8-d-arginine_vasopressin	treatment	sickle-cell_anemia
17-dmag	treatment	hepatocellular_carcinoma
1,1,1-trichloroethane	treatment	cardiac_toxicity
2-hydroxyoleic_acid	treatment	anxiety
3bp	treatment	cancer
25-ohd	treatment	obesity
3h-tetracycline	treatment	myocardial_necrosis
17beta-estradiol	treatment	chromosome_aberrations
25-oh-vitamin_d	treatment	ssc
5-3_beta-hydroxysteroid	treatment	ohd
3,2-hydroxybakuchiol	treatment	pheochromocytoma
12-0-tetradecanoylphorbol-13-acetate	treatment	inflammation
3-methoxy-4-hydroxyphenylglycol	treatment	unipolar_depressed
3,4-diaminopyridine	treatment	weakness
1-deamino-8-d-arginine_vasopressin	treatment	von_willebrand_disease
3-hydroxyisovaleric_acid	treatment	metabolic_acidosis
3-aminopyridine-2-carboxaldehyde_thiosemicarbazone	treatment	advanced_cancer
15d-pgj2	treatment	renal_injury
4-methylcatechol	treatment	diabetic_neuropathy
131-iodine	treatment	hyperthyroidism
2-cda	treatment	nhl
2-chlorodeoxyadenosine	treatment	mycosis_fungoides
11b-hydroxysteroid	treatment	diabetes
4-methyl-2,6-di-isobornyl_phenol	treatment	blood_hyperviscosity_syndrome
2-methoxy_isobutyl_isonitrile	treatment	coronary_artery_disease
4-phenoxyquinoline	treatment	cancer
22,23-dihydroxystigmastane	treatment	breast_carcinoma
5-ala	treatment	sebaceous_hyperplasia
4-damp	treatment	withdrawal_syndrome
1-dnj	treatment	dcm
2-acetylaminofluorene	treatment	tumors
2,4,6-trinitrobenzene_sulphonic_acid	treatment	colitis
1,25-dihydroxyvitamin_d3	treatment	uremic
2dg	treatment	tumor
12-0-tetradecanoyl-phorbol-13-acetate	treatment	megakaryoblastic_leukemia
1-butyl-3-methylimidazolium_salicylate	treatment	abs
3-np	treatment	motor_impairment
1-indanone	treatment	cytotoxicity
3,5-t2	treatment	hypothyroidism
5-ala	treatment	colon_cancer
129cs	treatment	myocardial_hypoxia
1-benzyl-1,2,3,4-tetrahydroisoquinoline	treatment	parkinsonian_syndrome
25-ohd	treatment	mimt
1,2-dimethylhydrazine	treatment	gastric_tumor
14c-acetate	treatment	atherosclerotic
4-hne	treatment	toxicity
4-hydroxypyrazole	treatment	cytotoxicity
5alpha-dihydrotestosterone	treatment	breast_cancer
1,25-dihydroxyvitamin_d	treatment	hyperprolactinemia
3-methylcholanthrene	treatment	cirrhosis
1,25-dihydroxyvitamin_d	treatment	acromegaly
2-thiazolylethylamine	treatment	seizure
2-chloroprocaine	treatment	epidural_block
3,4-methylenedioxymethamphetamine	treatment	hyperthermia
1-b-d-arabinofuranosylcytosine	treatment	acute_myelogenous_leukemia
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	treatment	attenuated_dopaminergic_neurodegeneration
25ohd	treatment	nvamd
13-methyl-palmatrubine	treatment	cancer
2-mx	treatment	edema
3-aminopropylsiloxane	treatment	aps
153sm-edtmp	treatment	painful_skeletal_metastases
1-methyl-4-phenylpyridinium	treatment	dopaminergic_neurite_degeneration
25-hydroxyvitamin_d	treatment	phpt
2-dg	treatment	seizures
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine	treatment	cognitive_decline
2,3-dimercaptosuccinic_acids	treatment	lead_poisoning
18f-fdg	treatment	heterotopic_pancreatitis
13,14-dihydro-15-keto_prostaglandin_f2_alpha	treatment	lung_cancer
10-edam	treatment	nsclc
1bntiq	treatment	neurotoxicity
3,4-methylenedioxymethamphetamine	treatment	neurotoxic
21-aminosteroid_u-74006f	treatment	cerebral_oedema
4,5-diarylisoxazoles	treatment	cancer
4-mercaptoimidazole	treatment	mi
3-slp	treatment	cm
1_alpha-hydroxycholecalciferol	treatment	php
2-chlorodeoxyadenosine	treatment	cll
18f-fdg	treatment	lhermitte-duclos_disease
15-deoxy-delta-12,14-prostaglandin_j2	treatment	asthma
3-pehpc	treatment	myeloma
2_bd	treatment	bd
17-aag	treatment	mastocytosis
1,2-dimethylthdrazine	treatment	vascular_neoplasms
2,3,5-triphenyl-2h-tetrazolium_chloride	treatment	cerebral_infarct_volume
111indium-dtpa	treatment	leptomeningeal_metastases
2,3,7,8-tetrachlorodibenzo-p-dioxin	treatment	hepatoma
3-ma	treatment	ptc
3h-leucine	treatment	alloxan_diabetes
1-palmitoyl-2-linoleoyl-3-acetylglycerol	treatment	memory_impairment
131i-metaiodobenzylguanidine	treatment	neuroblastoma
11-amino-1-undecanethiol	treatment	sams
5,10_methylenetetrahydrofolic_acid	treatment	breast_cancer
15d-pgj2	treatment	ap
18-fluorodeoxyglucose	treatment	b-cell_lymphoma
4-hpr	treatment	bladder_cancer
2-hexylcyclopentanone	treatment	toxicity
1,25-dihydroxyvitamin_d3	treatment	liver_cancers
15-hetre-dag	treatment	pkc
3-hydroxybutyrate	treatment	ketonuria
25-hydroxyvitamin_d3	treatment	type
5-aminolaevulinic_acid	treatment	skin_diseases
13c-nds	treatment	dm
